date,time,lat,lng,alert
20-07-2021,07:32:04,21.1538,79.01444,LDW
20-07-2021,07:42:29,21.1704,79.00531,PCW
20-07-2021,08:07:54,21.17103,79.00439,PCW
20-07-2021,08:08:27,21.17039,79.00535,PCW
20-07-2021,08:12:31,21.16621,79.0115,PCW
20-07-2021,08:19:28,21.15364,79.01037,LDW
20-07-2021,08:19:55,21.15385,79.014,FCW
20-07-2021,08:20:47,21.15274,79.02083,LDW
20-07-2021,08:24:53,21.14776,79.05305,FCW
20-07-2021,08:27:59,21.14647,79.06505,HMW
20-07-2021,09:24:46,21.14639,79.06583,HMW
20-07-2021,09:32:28,21.14899,79.04131,HMW
20-07-2021,09:33:53,21.15258,79.02154,LDW
20-07-2021,09:33:59,21.15258,79.02154,HMW
20-07-2021,09:34:24,21.15334,79.01748,HMW
20-07-2021,09:34:46,21.1538,79.01493,HMW
20-07-2021,09:35:03,21.15376,79.01251,HMW
20-07-2021,09:39:08,21.15711,79.00825,LDW
20-07-2021,10:45:04,21.16626,79.01194,HB
20-07-2021,10:52:55,21.15359,79.00997,HMW
20-07-2021,10:54:34,21.15299,79.01957,LDW
20-07-2021,10:55:19,21.15277,79.0208,LDW
20-07-2021,10:56:07,21.15012,79.03253,HMW
20-07-2021,10:59:15,21.1483,79.04864,HMW
20-07-2021,11:38:14,21.15019,79.03218,HMW
20-07-2021,11:38:26,21.15046,79.03126,FCW
20-07-2021,11:38:36,21.15075,79.03014,FCW
20-07-2021,11:40:51,21.15373,79.01253,HMW
20-07-2021,11:41:23,21.15348,79.0093,HMW
20-07-2021,11:47:43,21.1622,79.01547,HMW
20-07-2021,12:31:23,21.15375,79.01166,HMW
20-07-2021,12:33:32,21.15161,79.02714,FCW
20-07-2021,12:34:45,21.14959,79.0372,LDW
20-07-2021,12:34:56,21.14941,79.03861,HMW
20-07-2021,12:35:06,21.14926,79.03965,HMW
20-07-2021,12:40:12,21.147,79.06025,HMW
20-07-2021,12:43:50,21.14604,79.06959,HMW
20-07-2021,12:44:47,21.14574,79.07199,HMW
20-07-2021,12:45:31,21.14515,79.07484,HMW
20-07-2021,14:32:24,21.14434,79.07722,PCW
20-07-2021,15:08:13,21.14889,79.04268,PCW
20-07-2021,15:30:55,21.17357,79.00287,PCW
20-07-2021,18:24:03,21.14429,79.07718,PCW
20-07-2021,06:58:54,21.11467,79.01039,PCW
20-07-2021,07:04:41,21.11856,79.03317,LDW
20-07-2021,07:05:49,21.11573,79.0389,LDW
20-07-2021,07:07:16,21.11359,79.04489,PCW
20-07-2021,07:08:01,21.11283,79.04861,PCW
20-07-2021,07:10:27,21.11341,79.06004,LDW
20-07-2021,07:10:45,21.11289,79.06258,LDW
20-07-2021,07:14:37,21.11062,79.0718,LDW
20-07-2021,07:15:31,21.10809,79.07936,PCW
20-07-2021,07:18:29,21.10534,79.09721,LDW
20-07-2021,07:20:20,21.10551,79.1081,LDW
20-07-2021,07:28:34,21.13118,79.14209,HMW
20-07-2021,08:01:51,21.13547,79.14396,LDW
20-07-2021,08:02:58,21.12991,79.14143,LDW
20-07-2021,08:08:00,21.10886,79.1243,PCW
20-07-2021,08:10:52,21.10751,79.1196,PCW
20-07-2021,08:14:33,21.10542,79.10685,PCW
20-07-2021,08:22:05,21.11035,79.07279,LDW
20-07-2021,08:30:55,21.11294,79.04618,PCW
20-07-2021,08:38:55,21.11915,79.02025,PCW
20-07-2021,08:45:05,21.10939,78.99958,HMW
20-07-2021,09:23:54,21.10138,78.98701,HMW
20-07-2021,09:30:45,21.11707,79.01385,HMW
20-07-2021,09:31:23,21.11782,79.01574,PCW
20-07-2021,09:43:26,21.11373,79.05631,PCW
20-07-2021,10:02:56,21.1104,79.12722,PCW
20-07-2021,10:45:06,21.14961,79.15843,PCW
20-07-2021,11:18:23,21.1067,79.0828,FCW
20-07-2021,11:42:50,21.1142,79.00949,HMW
20-07-2021,12:41:15,21.10521,78.99316,PCW
20-07-2021,12:41:15,21.10521,78.99316,FCW
20-07-2021,12:42:41,21.11009,79.00054,PCW
20-07-2021,12:50:18,21.12001,79.0221,PCW
20-07-2021,13:01:08,21.11294,79.05163,LDW
20-07-2021,13:03:31,21.11356,79.05923,LDW
20-07-2021,13:06:57,21.11138,79.06811,HMW
20-07-2021,13:08:39,21.10977,79.07596,FCW
20-07-2021,13:08:52,21.10935,79.07673,HMW
20-07-2021,13:28:45,21.13389,79.14329,HMW
20-07-2021,13:29:14,21.13676,79.14427,LDW
20-07-2021,13:49:37,21.15056,79.14938,PCW
20-07-2021,13:57:57,21.14954,79.15994,PCW
20-07-2021,13:58:57,21.14957,79.15908,PCW
20-07-2021,14:19:32,21.1137,79.13094,PCW
20-07-2021,14:30:54,21.10547,79.09337,HMW
20-07-2021,14:45:22,21.11398,79.04336,PCW
20-07-2021,14:55:55,21.11791,79.0175,PCW
20-07-2021,16:03:20,21.11004,79.07522,HMW
20-07-2021,16:07:26,21.10566,79.09183,HMW
20-07-2021,18:27:28,21.11403,79.04293,PCW
20-07-2021,18:34:02,21.12156,79.0299,PCW
20-07-2021,18:41:41,21.115,79.01112,PCW
20-07-2021,18:45:20,21.10918,78.99925,HMW
20-07-2021,07:05:19,21.12071,79.02478,PCW
20-07-2021,07:06:07,21.12126,79.02793,PCW
20-07-2021,07:22:47,21.11109,79.02399,PCW
20-07-2021,07:24:29,21.10836,79.0194,FCW
20-07-2021,07:24:47,21.10806,79.01796,PCW
20-07-2021,07:25:16,21.10595,79.01769,PCW
20-07-2021,07:27:49,21.10226,79.01239,PCW
20-07-2021,07:45:17,21.10866,79.0217,PCW
20-07-2021,07:46:28,21.11125,79.02421,PCW
20-07-2021,07:50:17,21.11776,79.0346,PCW
20-07-2021,08:36:17,21.14206,79.08023,PCW
20-07-2021,08:41:06,21.14674,79.06118,HMW
20-07-2021,09:02:58,21.10518,78.99322,HMW
20-07-2021,09:11:44,21.11649,78.98096,PCW
20-07-2021,09:19:40,21.10952,79.00163,PCW
20-07-2021,09:20:47,21.10675,79.00294,PCW
20-07-2021,09:50:49,21.11613,79.03199,PCW
20-07-2021,09:53:06,21.11706,79.036,HMW
20-07-2021,10:04:06,21.12936,79.06288,PCW
20-07-2021,10:05:46,21.13147,79.06217,PCW
20-07-2021,10:09:15,21.13867,79.0656,PCW
20-07-2021,10:11:08,21.14602,79.06967,FCW
20-07-2021,10:12:12,21.14565,79.07258,HMW
20-07-2021,10:12:56,21.1451,79.07502,HMW
20-07-2021,10:15:31,21.1425,79.08072,PCW
20-07-2021,11:57:18,21.11128,79.02422,PCW
20-07-2021,12:02:50,21.11628,79.0376,HB
20-07-2021,12:07:21,21.11756,79.04692,PCW
20-07-2021,12:18:16,21.13679,79.06497,HMW
20-07-2021,12:18:52,21.13934,79.06551,HMW
20-07-2021,12:20:58,21.14454,79.06791,HMW
20-07-2021,12:23:19,21.14537,79.07396,PCW
20-07-2021,12:43:49,21.13945,79.06557,HMW
20-07-2021,13:02:57,21.11475,79.02993,PCW
20-07-2021,13:28:08,21.10198,79.01417,PCW
20-07-2021,13:42:54,21.11333,79.04553,HB
20-07-2021,13:50:38,21.1256,79.06111,HMW
20-07-2021,13:59:04,21.13857,79.06561,HMW
20-07-2021,15:27:21,21.10301,79.00943,PCW
20-07-2021,15:29:32,21.10129,79.01683,PCW
20-07-2021,15:32:51,21.10954,79.02308,PCW
20-07-2021,15:39:15,21.1149,79.04098,HMW
20-07-2021,15:40:23,21.11348,79.04507,PCW
20-07-2021,15:41:08,21.11489,79.04622,FCW
20-07-2021,15:41:24,21.11639,79.04665,PCW
20-07-2021,15:43:22,21.12145,79.05192,HMW
20-07-2021,15:47:51,21.12892,79.06306,PCW
20-07-2021,15:49:28,21.13015,79.06265,HMW
20-07-2021,15:59:19,21.14179,79.0804,PCW
20-07-2021,16:17:40,21.14334,79.08065,PCW
20-07-2021,16:28:53,21.12609,79.06371,PCW
20-07-2021,16:29:16,21.12606,79.0631,HMW
20-07-2021,16:32:04,21.12384,79.0581,PCW
20-07-2021,16:38:44,21.11335,79.04578,PCW
20-07-2021,16:41:42,21.11756,79.03478,PCW
20-07-2021,16:45:56,21.11146,79.02506,PCW
20-07-2021,16:47:12,21.10941,79.02305,PCW
20-07-2021,16:48:17,21.10847,79.02046,PCW
20-07-2021,16:53:02,21.10236,79.01209,PCW
20-07-2021,16:53:45,21.10284,79.01071,PCW
20-07-2021,17:00:29,21.10447,79.00481,PCW
20-07-2021,17:04:20,21.10822,78.9976,PCW
20-07-2021,17:40:21,21.10766,78.99665,HMW
20-07-2021,17:44:07,21.11443,79.00978,HMW
20-07-2021,17:50:24,21.1222,79.03327,LDW
20-07-2021,17:51:55,21.12331,79.04153,HMW
20-07-2021,17:53:54,21.12266,79.04645,HMW
20-07-2021,17:54:02,21.1222,79.04731,HMW
20-07-2021,17:54:09,21.12195,79.04833,HMW
20-07-2021,17:54:47,21.12145,79.05178,HMW
20-07-2021,18:38:39,21.14243,79.07962,PCW
20-07-2021,07:08:10,21.12037,79.02328,HMW
20-07-2021,07:09:44,21.12253,79.0349,LDW
20-07-2021,07:12:35,21.12137,79.05312,HMW
20-07-2021,07:12:58,21.1212,79.05554,HMW
20-07-2021,07:13:47,21.12535,79.05878,HMW
20-07-2021,07:14:43,21.13014,79.05687,HMW
20-07-2021,07:14:46,21.13014,79.05687,LDW
20-07-2021,07:15:03,21.13226,79.056,HMW
20-07-2021,07:16:17,21.13881,79.05423,FCW
20-07-2021,07:39:18,21.15265,79.07605,LDW
20-07-2021,07:41:54,21.15354,79.0894,LDW
20-07-2021,07:41:57,21.15354,79.0894,FCW
20-07-2021,07:44:13,21.15048,79.106,HMW
20-07-2021,07:45:46,21.14889,79.11678,HMW
20-07-2021,07:56:08,21.15254,79.14966,HMW
20-07-2021,07:58:23,21.14975,79.15846,HMW
20-07-2021,08:02:47,21.14391,79.1764,LDW
20-07-2021,08:03:15,21.14305,79.1802,PCW
20-07-2021,08:03:59,21.14271,79.18159,LDW
20-07-2021,08:06:19,21.14086,79.19559,LDW
20-07-2021,08:31:32,21.14558,79.16965,HMW
20-07-2021,08:32:47,21.14946,79.16126,PCW
20-07-2021,08:41:21,21.15781,79.14611,HMW
20-07-2021,08:42:19,21.16163,79.14193,HMW
20-07-2021,08:43:30,21.15882,79.13735,LDW
20-07-2021,08:54:40,21.15032,79.1064,PCW
20-07-2021,09:29:16,21.15348,79.0906,LDW
20-07-2021,09:31:06,21.15179,79.0992,HMW
20-07-2021,09:35:17,21.14954,79.11236,HMW
20-07-2021,09:38:37,21.15115,79.11867,PCW
20-07-2021,09:52:15,21.14973,79.1586,HMW
20-07-2021,09:52:33,21.14967,79.1601,PCW
20-07-2021,10:25:04,21.14947,79.16366,PCW
20-07-2021,10:44:23,21.15456,79.14954,HMW
20-07-2021,10:46:31,21.15927,79.14452,HMW
20-07-2021,10:46:50,21.16063,79.14309,HMW
20-07-2021,10:49:00,21.15775,79.13621,FCW
20-07-2021,10:53:15,21.15319,79.1258,HMW
20-07-2021,10:56:14,21.15187,79.11826,HMW
20-07-2021,10:58:39,21.14895,79.11563,HMW
20-07-2021,11:00:25,21.14901,79.11451,PCW
20-07-2021,11:01:21,21.14939,79.1126,PCW
20-07-2021,11:41:42,21.14994,79.07452,HMW
20-07-2021,11:55:06,21.1508,79.10478,PCW
20-07-2021,11:57:49,21.14999,79.10801,PCW
20-07-2021,12:02:29,21.14881,79.11956,PCW
20-07-2021,12:05:24,21.15366,79.11768,PCW
20-07-2021,12:07:43,21.15352,79.12455,HMW
20-07-2021,12:07:55,21.15342,79.12516,PCW
20-07-2021,13:02:34,21.15931,79.13789,LDW
20-07-2021,13:10:48,21.14963,79.11974,HMW
20-07-2021,13:11:55,21.14872,79.11932,PCW
20-07-2021,13:21:10,21.15299,79.09499,PCW
20-07-2021,13:26:03,21.14709,79.08311,HB
20-07-2021,13:48:11,21.15332,79.08315,HMW
20-07-2021,13:54:05,21.15203,79.09834,HMW
20-07-2021,14:02:17,21.14922,79.1137,HMW
20-07-2021,14:03:40,21.1491,79.11502,HMW
20-07-2021,14:05:51,21.15044,79.11912,HMW
20-07-2021,14:05:53,21.15044,79.11912,HMW
20-07-2021,14:06:16,21.15169,79.11831,HMW
20-07-2021,14:08:31,21.15337,79.12533,HMW
20-07-2021,14:10:57,21.15434,79.13525,HMW
20-07-2021,14:15:44,21.1587,79.1371,HMW
20-07-2021,14:15:46,21.1587,79.1371,HMW
20-07-2021,14:18:38,21.15692,79.1474,FCW
20-07-2021,14:58:19,21.16038,79.139,LDW
20-07-2021,14:58:26,21.16038,79.139,FCW
20-07-2021,14:59:57,21.1546,79.13533,HMW
20-07-2021,15:06:42,21.14877,79.11768,HMW
20-07-2021,15:15:25,21.15249,79.0967,HMW
20-07-2021,15:15:56,21.15278,79.09502,PCW
20-07-2021,15:17:32,21.1535,79.08899,HMW
20-07-2021,15:19:14,21.14686,79.08805,HMW
20-07-2021,15:51:54,21.15136,79.10083,HMW
20-07-2021,15:57:35,21.14949,79.11284,HMW
20-07-2021,16:02:21,21.15406,79.11778,PCW
20-07-2021,16:05:16,21.15234,79.1312,FCW
20-07-2021,16:16:37,21.14971,79.16051,PCW
20-07-2021,16:17:35,21.1496,79.16198,HMW
20-07-2021,16:45:25,21.16195,79.14159,PCW
20-07-2021,16:56:30,21.14921,79.11302,HMW
20-07-2021,16:58:45,21.15029,79.10638,PCW
20-07-2021,17:04:32,21.15345,79.08906,HMW
20-07-2021,17:39:26,21.15324,79.09413,PCW
20-07-2021,17:40:16,21.15276,79.09603,HMW
20-07-2021,17:53:16,21.15297,79.12751,HMW
20-07-2021,17:54:16,21.15206,79.13257,HMW
20-07-2021,18:07:33,21.14957,79.16217,HMW
20-07-2021,18:10:34,21.14354,79.17793,LDW
20-07-2021,18:11:57,21.14157,79.18634,LDW
20-07-2021,18:12:13,21.14088,79.18915,LDW
20-07-2021,18:32:28,21.14086,79.19758,PCW
20-07-2021,18:36:05,21.14317,79.17906,HMW
20-07-2021,18:39:20,21.14798,79.16631,HMW
20-07-2021,18:50:13,21.15393,79.13525,FCW
20-07-2021,18:59:34,21.15051,79.10537,FCW
20-07-2021,19:01:59,21.15278,79.09515,HMW
20-07-2021,19:10:50,21.14632,79.06614,HMW
20-07-2021,19:11:28,21.14656,79.06282,HMW
20-07-2021,19:23:59,21.12123,79.05381,HMW
20-07-2021,19:25:01,21.12186,79.0484,HMW
20-07-2021,19:25:12,21.12206,79.04764,HMW
20-07-2021,19:25:29,21.12279,79.04615,HMW
20-07-2021,19:27:03,21.12317,79.03905,LDW
20-07-2021,19:27:32,21.1224,79.0346,LDW
20-07-2021,07:14:56,21.12089,79.02605,HMW
20-07-2021,07:15:14,21.12126,79.02795,HMW
20-07-2021,07:15:24,21.12144,79.02894,HMW
20-07-2021,07:15:46,21.12173,79.0305,HMW
20-07-2021,07:16:28,21.12257,79.03538,LDW
20-07-2021,07:22:25,21.1353,79.05483,HMW
20-07-2021,07:47:45,21.15262,79.07704,LDW
20-07-2021,07:48:54,21.1541,79.08528,PCW
20-07-2021,07:49:19,21.15361,79.08698,PCW
20-07-2021,07:51:35,21.15312,79.09439,HMW
20-07-2021,07:55:53,21.14986,79.11947,FCW
20-07-2021,07:56:19,21.15152,79.11841,FCW
20-07-2021,07:57:13,21.15407,79.12014,PCW
20-07-2021,07:57:55,21.15346,79.12479,HMW
20-07-2021,07:58:32,21.15268,79.1291,HMW
20-07-2021,08:14:06,21.14395,79.17604,LDW
20-07-2021,08:14:38,21.143,79.18024,LDW
20-07-2021,08:15:43,21.14062,79.19023,LDW
20-07-2021,08:39:10,21.13067,79.1909,PCW
20-07-2021,09:09:19,21.14878,79.11828,HMW
20-07-2021,09:17:41,21.15348,79.08883,HMW
20-07-2021,09:43:27,21.1494,79.07437,HMW
20-07-2021,09:46:57,21.15388,79.08398,PCW
20-07-2021,09:49:44,21.15306,79.09441,HMW
20-07-2021,09:59:26,21.15123,79.11861,PCW
20-07-2021,10:01:32,21.15296,79.12775,HMW
20-07-2021,10:01:43,21.15275,79.12879,HMW
20-07-2021,10:02:02,21.1526,79.12972,HMW
20-07-2021,10:02:19,21.15203,79.13276,HMW
20-07-2021,10:05:51,21.16186,79.14053,PCW
20-07-2021,10:08:36,21.15924,79.14482,FCW
20-07-2021,10:12:24,21.15081,79.15294,PCW
20-07-2021,11:03:29,21.15068,79.15298,PCW
20-07-2021,11:23:31,21.14959,79.11036,PCW
20-07-2021,11:36:27,21.14397,79.08097,PCW
20-07-2021,11:42:58,21.14409,79.07799,PCW
20-07-2021,11:46:36,21.14409,79.07799,PCW
20-07-2021,11:49:03,21.14409,79.07799,PCW
20-07-2021,11:50:38,21.14409,79.07799,PCW
20-07-2021,11:53:15,21.14409,79.07799,PCW
20-07-2021,11:54:51,21.14409,79.07799,PCW
20-07-2021,12:05:46,21.15271,79.07567,PCW
20-07-2021,12:37:10,21.1571,79.14716,PCW
20-07-2021,12:57:05,21.14939,79.1628,PCW
20-07-2021,13:17:02,21.15927,79.14455,PCW
20-07-2021,13:21:26,21.15163,79.13484,PCW
20-07-2021,13:29:15,21.14904,79.11483,PCW
20-07-2021,13:30:16,21.14906,79.11428,PCW
20-07-2021,13:32:06,21.14963,79.11,PCW
20-07-2021,14:04:57,21.15278,79.07494,PCW
20-07-2021,14:07:27,21.15272,79.08007,PCW
20-07-2021,14:46:51,21.14948,79.16087,PCW
20-07-2021,15:00:55,21.1509,79.14974,PCW
20-07-2021,15:10:30,21.15412,79.11856,PCW
20-07-2021,15:28:30,21.144,79.07869,PCW
20-07-2021,15:28:33,21.144,79.07869,PCW
20-07-2021,15:28:54,21.144,79.07806,PCW
20-07-2021,15:31:18,21.14403,79.07802,PCW
20-07-2021,15:33:55,21.14403,79.07802,PCW
20-07-2021,15:34:48,21.14403,79.07802,PCW
20-07-2021,15:40:19,21.14403,79.07802,PCW
20-07-2021,15:43:03,21.14403,79.07802,PCW
20-07-2021,15:45:02,21.14403,79.07802,PCW
20-07-2021,15:46:14,21.14403,79.07802,PCW
20-07-2021,15:46:35,21.14403,79.07802,PCW
20-07-2021,15:46:38,21.14403,79.07802,PCW
20-07-2021,15:54:04,21.14407,79.07796,PCW
20-07-2021,15:56:32,21.14407,79.07796,PCW
20-07-2021,15:59:23,21.14407,79.07796,PCW
20-07-2021,16:16:27,21.14996,79.10813,PCW
20-07-2021,16:48:17,21.14947,79.16093,PCW
20-07-2021,17:38:10,21.14402,79.078,PCW
20-07-2021,17:40:27,21.14402,79.078,PCW
20-07-2021,17:42:55,21.14402,79.078,PCW
20-07-2021,17:43:53,21.14402,79.078,PCW
20-07-2021,17:45:48,21.14402,79.078,PCW
